0,What is life Insurance,*,*,Life insurance is a concept that aims to provide financial protection to the family members of the insured individual in case of an unfortunate eventuality such as the demise of the insured individual.,insurance.aiml
0,Life insurance,*,*,<srai>What is life Insurance</srai>,insurance.aiml
0,what do you mean by life insurance,*,*,<srai>What is life Insurance</srai>,insurance.aiml
0,Why do I need insurance,*,*,Insurance aims to provide financial protection to an individual #comma oneâ€™s family and assets from unfortunate eventualities such as death #comma accident #comma illness #comma etc. or loss of assets. A classic insurance policy #comma i.e. a term plan #comma provides financial assistance to your family in the unfortunate event of your death.,insurance.aiml
0,Need of insurance,*,*,<srai>Why do I need insurance</srai>,insurance.aiml
0,what is the need of insurance,*,*,<srai>Why do I need insurance</srai>,insurance.aiml
0,Can I change my nominee in the insurance policy,*,*,Yes. You as the life insurance policy holder can change your nomination any time before the date of maturity of the policy.,insurance.aiml
0,Can the nominee be changed in insurance policy,*,*,<srai>Can I change my nominee in the insurance policy </srai>,insurance.aiml
0,Can a minor be the nominee of an insurance policy,*,*,Yes #comma a minor can be the nominee of a policy. However #comma he or she must have a legal guardian in the form of an appointee.,insurance.aiml
0,Advantages of buying insurance at early age,*,*,<srai>Are there any advantages to buying insurance at an early age</srai>,insurance.aiml
0,What are the risks in Insurance Products,*,*,The risk of an insurance product would depend on the type of product. Largely insurance products are of two types and the associated risks are stated broadly.,insurance.aiml
0,What is health insurance,*,*,Health insurance refers to protection against the costs of hospital and medical care or lost income arising from an illness or injury.,insurance.aiml
0,Health insurance,*,*,<srai>What is health insurance</srai>,insurance.aiml
0,Explain Health insurance,*,*,<srai>What is health insurance</srai>,insurance.aiml
